symbol,date,direction,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,pnl
AARTIIND,1/1/2024,BUY,2024-01-01 09:20:00,653.0,656.265,651.3675000000001,2024-01-01 10:30:00,651.3675000000001,stop_loss,-0.0025
AARTIIND,1/2/2024,BUY,2024-01-02 09:20:00,655.35,658.6267499999999,653.711625,2024-01-02 09:55:00,653.711625,stop_loss,-0.0025
AARTIIND,1/2/2024,SELL,2024-01-02 09:55:00,651.7,648.4415,653.32925,2024-01-02 10:25:00,648.4415,target_hit,0.005
AARTIIND,1/3/2024,SELL,2024-01-03 09:20:00,650.65,647.39675,652.276625,2024-01-03 09:40:00,647.39675,target_hit,0.005
AARTIIND,1/4/2024,BUY,2024-01-04 09:20:00,654.25,657.5212499999999,652.614375,2024-01-04 09:25:00,652.614375,stop_loss,-0.0025
AARTIIND,1/4/2024,SELL,2024-01-04 09:25:00,649.85,646.6007500000001,651.474625,2024-01-04 09:40:00,651.474625,stop_loss,-0.0025
AARTIIND,1/5/2024,SELL,2024-01-05 09:20:00,646.0,642.77,647.615,2024-01-05 10:15:00,642.77,target_hit,0.005
AARTIIND,1/8/2024,SELL,2024-01-08 09:20:00,618.1,615.0095,619.64525,2024-01-08 09:25:00,615.0095,target_hit,0.005
AARTIIND,1/9/2024,SELL,2024-01-09 09:40:00,599.9,596.9005,601.3997499999999,2024-01-09 09:45:00,601.3997499999999,stop_loss,-0.0025
AARTIIND,1/9/2024,BUY,2024-01-09 13:30:00,608.0,611.04,606.48,2024-01-09 14:05:00,606.48,stop_loss,-0.0025
AARTIIND,1/10/2024,BUY,2024-01-10 09:20:00,601.6,604.608,600.096,2024-01-10 09:25:00,600.096,stop_loss,-0.0025
AARTIIND,1/10/2024,SELL,2024-01-10 09:20:00,601.6,598.592,603.104,2024-01-10 09:30:00,603.104,stop_loss,-0.0025
AARTIIND,1/11/2024,BUY,2024-01-11 09:25:00,608.5,611.5424999999999,606.97875,2024-01-11 09:40:00,611.5424999999999,target_hit,0.005
AARTIIND,1/12/2024,BUY,2024-01-12 09:20:00,625.25,628.3762499999999,623.686875,2024-01-12 09:45:00,628.3762499999999,target_hit,0.005
AARTIIND,1/12/2024,SELL,2024-01-12 15:15:00,616.3,613.2185,617.84075,2024-01-12 15:15:00,616.3,time_exit,0.0
AARTIIND,1/15/2024,SELL,2024-01-15 09:20:00,614.95,611.87525,616.487375,2024-01-15 09:35:00,611.87525,target_hit,0.005
AARTIIND,1/16/2024,SELL,2024-01-16 10:35:00,608.5,605.4575,610.02125,2024-01-16 11:45:00,605.4575,target_hit,0.005
AARTIIND,1/17/2024,BUY,2024-01-17 09:35:00,599.25,602.2462499999999,597.751875,2024-01-17 09:50:00,597.751875,stop_loss,-0.0025
AARTIIND,1/17/2024,SELL,2024-01-17 14:30:00,585.25,582.32375,586.713125,2024-01-17 14:45:00,582.32375,target_hit,0.005
AARTIIND,1/19/2024,BUY,2024-01-19 09:25:00,624.4,627.5219999999999,622.839,2024-01-19 09:35:00,627.5219999999999,target_hit,0.005
AARTIIND,1/20/2024,SELL,2024-01-20 09:50:00,661.55,658.2422499999999,663.2038749999999,2024-01-20 09:55:00,663.2038749999999,stop_loss,-0.0025
AARTIIND,1/23/2024,SELL,2024-01-23 09:20:00,665.45,662.12275,667.113625,2024-01-23 09:25:00,667.113625,stop_loss,-0.0025
AARTIIND,1/23/2024,BUY,2024-01-23 09:30:00,675.8,679.1789999999999,674.1105,2024-01-23 09:35:00,674.1105,stop_loss,-0.0025
